hits_14,hits_15,hits_16,hits_17,hits_18
dealer,player,dealer,dealer,dealer
player,dealer,player,player,push
push,player,player,dealer,dealer
player,player,dealer,player,player
player,dealer,dealer,dealer,player
dealer,dealer,player,player,dealer
player,dealer,dealer,player,player
player,dealer,dealer,player,dealer
dealer,dealer,push,dealer,player
dealer,push,player,dealer,dealer
dealer,player,player,dealer,dealer
dealer,dealer,dealer,dealer,player
dealer,player,dealer,player,player
player,dealer,dealer,dealer,dealer
dealer,player,player,dealer,player
player,player,player,dealer,player
dealer,dealer,dealer,player,dealer
player,player,push,dealer,player
player,dealer,dealer,push,player
push,dealer,push,player,dealer
push,player,player,player,dealer
dealer,player,dealer,dealer,player
dealer,push,dealer,player,dealer
dealer,player,dealer,player,player
player,dealer,dealer,dealer,player
player,player,dealer,player,dealer
dealer,player,dealer,dealer,player
dealer,dealer,push,dealer,dealer
player,dealer,dealer,dealer,player
dealer,dealer,player,push,dealer
push,player,dealer,player,dealer
push,dealer,push,player,player
dealer,dealer,player,push,player
dealer,dealer,dealer,push,dealer
player,dealer,player,player,player
player,dealer,push,dealer,dealer
player,player,dealer,dealer,player
dealer,player,dealer,dealer,player
player,dealer,player,dealer,player
dealer,push,dealer,player,player
player,push,dealer,dealer,player
dealer,dealer,dealer,dealer,player
player,dealer,player,player,dealer
dealer,dealer,player,dealer,player
dealer,player,dealer,player,player
player,dealer,dealer,dealer,dealer
player,push,dealer,dealer,player
dealer,dealer,dealer,dealer,dealer
dealer,player,player,dealer,push
dealer,dealer,dealer,dealer,player
push,player,player,dealer,player
dealer,player,player,player,player
dealer,player,dealer,dealer,dealer
dealer,dealer,player,dealer,dealer
push,player,player,dealer,player
dealer,player,player,dealer,player
player,player,dealer,dealer,dealer
push,push,push,push,dealer
player,player,dealer,player,dealer
player,dealer,dealer,player,push
dealer,dealer,player,dealer,dealer
push,dealer,dealer,dealer,player
dealer,dealer,dealer,dealer,dealer
push,player,player,player,player
player,player,push,dealer,dealer
dealer,player,dealer,player,player
player,dealer,dealer,player,dealer
player,dealer,dealer,push,dealer
player,player,dealer,dealer,dealer
player,dealer,dealer,dealer,dealer
dealer,player,player,player,dealer
player,dealer,push,dealer,dealer
push,player,dealer,player,dealer
dealer,player,dealer,dealer,player
dealer,player,player,dealer,dealer
player,dealer,player,player,push
player,player,dealer,dealer,dealer
dealer,player,dealer,player,player
player,dealer,dealer,dealer,player
dealer,dealer,dealer,player,dealer
dealer,dealer,dealer,dealer,player
dealer,push,dealer,dealer,dealer
player,dealer,player,dealer,dealer
dealer,dealer,push,push,player
player,player,player,dealer,player
player,dealer,player,dealer,dealer
player,dealer,dealer,player,dealer
player,player,dealer,player,player
player,player,player,dealer,dealer
dealer,player,player,player,dealer
push,dealer,dealer,dealer,push
dealer,player,player,dealer,dealer
player,player,dealer,player,dealer
push,dealer,dealer,dealer,dealer
push,player,push,player,dealer
player,dealer,player,dealer,push
player,dealer,dealer,push,player
player,dealer,player,dealer,player
dealer,dealer,player,dealer,dealer
player,dealer,push,player,dealer
dealer,player,dealer,player,player
dealer,player,dealer,push,dealer
dealer,dealer,dealer,dealer,player
player,dealer,dealer,dealer,dealer
player,push,player,dealer,dealer
player,push,dealer,dealer,dealer
dealer,player,player,player,player
dealer,dealer,dealer,player,player
dealer,dealer,dealer,dealer,dealer
dealer,dealer,dealer,player,dealer
dealer,push,dealer,player,dealer
dealer,player,dealer,player,dealer
player,dealer,dealer,player,dealer
player,player,dealer,dealer,dealer
dealer,dealer,dealer,dealer,dealer
player,player,player,player,player
dealer,dealer,dealer,player,push
player,dealer,dealer,player,player
dealer,player,push,dealer,dealer
dealer,player,player,player,player
push,player,push,player,player
player,dealer,push,dealer,dealer
player,player,dealer,player,dealer
dealer,dealer,player,player,player
dealer,player,dealer,player,dealer
player,push,player,dealer,dealer
dealer,dealer,player,dealer,player
dealer,dealer,dealer,push,player
push,dealer,player,dealer,player
dealer,player,dealer,dealer,dealer
dealer,dealer,player,dealer,dealer
player,player,dealer,dealer,dealer
dealer,player,player,player,dealer
push,dealer,dealer,player,dealer
player,dealer,dealer,dealer,dealer
dealer,dealer,dealer,dealer,player
dealer,player,player,dealer,dealer
player,player,player,player,dealer
player,push,player,player,dealer
dealer,dealer,player,player,dealer
dealer,dealer,push,dealer,player
dealer,dealer,dealer,player,dealer
push,dealer,player,player,push
player,player,dealer,dealer,player
player,player,player,dealer,dealer
dealer,player,dealer,player,dealer
dealer,player,player,player,dealer
player,player,player,push,dealer
dealer,dealer,dealer,player,dealer
dealer,player,player,dealer,dealer
push,player,player,dealer,push
player,dealer,dealer,dealer,dealer
player,dealer,player,player,player
player,dealer,player,dealer,dealer
dealer,player,push,dealer,dealer
push,dealer,player,push,dealer
dealer,player,player,dealer,player
player,push,player,dealer,dealer
player,push,player,dealer,dealer
player,player,push,push,player
dealer,dealer,player,dealer,dealer
player,player,player,player,push
player,dealer,player,player,player
dealer,dealer,player,player,dealer
player,player,dealer,player,dealer
player,push,dealer,player,dealer
player,player,player,player,push
dealer,dealer,player,dealer,dealer
dealer,dealer,player,dealer,player
player,dealer,dealer,dealer,dealer
player,push,player,dealer,dealer
dealer,push,dealer,player,dealer
player,push,player,push,dealer
dealer,player,player,dealer,dealer
dealer,dealer,player,dealer,dealer
dealer,player,push,player,dealer
player,player,dealer,player,push
player,dealer,dealer,dealer,dealer
dealer,dealer,push,player,player
dealer,dealer,dealer,push,dealer
dealer,push,dealer,dealer,push
player,dealer,dealer,player,dealer
dealer,dealer,player,dealer,player
player,dealer,dealer,player,player
player,player,dealer,push,dealer
player,push,dealer,dealer,dealer
player,player,dealer,dealer,dealer
player,dealer,player,dealer,dealer
dealer,dealer,push,player,dealer
player,dealer,dealer,player,player
dealer,player,player,player,dealer
dealer,player,player,player,push
player,dealer,player,player,dealer
dealer,dealer,player,dealer,dealer
dealer,player,dealer,player,dealer
player,dealer,player,dealer,dealer
dealer,dealer,dealer,dealer,player
player,dealer,player,player,dealer
push,push,player,push,player
dealer,push,player,player,dealer
dealer,player,dealer,dealer,dealer
player,player,dealer,dealer,player
push,dealer,player,push,dealer
push,push,dealer,dealer,dealer
player,player,dealer,dealer,dealer
push,player,dealer,dealer,dealer
dealer,dealer,push,dealer,dealer
player,dealer,player,player,dealer
player,dealer,player,dealer,dealer
dealer,dealer,player,push,dealer
player,dealer,dealer,dealer,dealer
player,player,player,dealer,dealer
player,player,dealer,push,dealer
dealer,player,dealer,dealer,player
dealer,player,player,dealer,player
player,push,player,player,player
player,dealer,dealer,player,dealer
dealer,dealer,player,dealer,dealer
dealer,player,push,dealer,push
player,dealer,player,dealer,player
player,dealer,dealer,player,dealer
player,dealer,dealer,dealer,dealer
dealer,dealer,player,dealer,dealer
dealer,player,dealer,player,player
dealer,dealer,player,dealer,dealer
dealer,player,player,dealer,player
player,player,push,player,player
dealer,player,player,dealer,player
dealer,player,dealer,dealer,player
dealer,player,dealer,dealer,dealer
player,player,dealer,push,player
dealer,player,dealer,dealer,dealer
player,dealer,player,dealer,player
dealer,push,dealer,player,dealer
player,player,dealer,player,dealer
dealer,dealer,dealer,player,dealer
player,player,dealer,dealer,player
dealer,player,player,push,dealer
dealer,player,player,dealer,dealer
player,dealer,player,player,push
player,dealer,dealer,dealer,dealer
push,player,dealer,dealer,dealer
player,player,player,dealer,push
player,push,player,player,dealer
player,dealer,dealer,dealer,push
dealer,dealer,player,push,dealer
player,push,dealer,dealer,dealer
player,dealer,player,dealer,dealer
push,dealer,player,player,player
player,dealer,player,dealer,player
dealer,player,dealer,dealer,dealer
player,player,dealer,player,dealer
dealer,player,player,player,dealer
push,dealer,dealer,dealer,player
push,player,player,player,player
player,player,dealer,dealer,dealer
player,dealer,dealer,dealer,player
dealer,push,player,push,dealer
dealer,dealer,dealer,dealer,dealer
dealer,dealer,player,player,dealer
dealer,dealer,player,player,dealer
dealer,dealer,player,dealer,player
dealer,dealer,push,dealer,player
player,dealer,player,dealer,player
player,player,player,dealer,player
player,player,player,player,dealer
player,dealer,dealer,dealer,dealer
player,push,dealer,dealer,dealer
player,player,player,push,dealer
player,player,player,player,player
player,player,push,player,dealer
player,dealer,player,player,push
push,player,push,player,dealer
push,player,dealer,dealer,player
dealer,dealer,push,dealer,dealer
player,dealer,dealer,player,dealer
push,player,player,dealer,dealer
dealer,dealer,player,dealer,player
player,push,dealer,dealer,player
player,dealer,dealer,player,player
player,push,dealer,dealer,dealer
player,player,dealer,dealer,dealer
dealer,player,player,dealer,dealer
push,push,player,dealer,player
dealer,dealer,player,dealer,player
player,push,push,dealer,player
push,dealer,player,dealer,push
player,push,dealer,push,dealer
dealer,player,player,player,dealer
push,dealer,dealer,dealer,dealer
player,player,dealer,player,player
dealer,player,dealer,player,dealer
push,dealer,dealer,dealer,dealer
push,dealer,player,dealer,player
player,dealer,dealer,player,dealer
dealer,dealer,dealer,player,player
player,dealer,dealer,player,dealer
player,dealer,dealer,player,player
player,player,dealer,player,player
player,dealer,push,player,push
player,dealer,push,dealer,player
player,player,dealer,push,push
dealer,dealer,dealer,dealer,player
player,dealer,dealer,player,player
push,player,player,dealer,dealer
player,player,dealer,dealer,dealer
player,dealer,dealer,player,dealer
dealer,push,dealer,dealer,dealer
dealer,dealer,dealer,dealer,dealer
dealer,dealer,dealer,player,dealer
player,dealer,dealer,player,dealer
dealer,player,dealer,dealer,player
dealer,player,player,dealer,player
dealer,player,dealer,dealer,dealer
dealer,push,dealer,push,player
player,dealer,player,dealer,player
dealer,player,dealer,player,player
push,dealer,player,player,dealer
player,push,dealer,dealer,player
player,dealer,player,dealer,player
dealer,push,player,dealer,push
player,dealer,dealer,dealer,dealer
player,dealer,dealer,dealer,dealer
player,dealer,dealer,player,player
player,player,player,dealer,player
player,player,player,player,dealer
dealer,dealer,player,dealer,player
dealer,dealer,dealer,dealer,dealer
dealer,dealer,player,player,dealer
dealer,dealer,player,player,player
dealer,dealer,dealer,dealer,player
dealer,dealer,dealer,push,push
dealer,player,player,dealer,dealer
dealer,player,dealer,dealer,push
player,player,player,dealer,dealer
dealer,dealer,push,dealer,player
player,dealer,player,dealer,dealer
dealer,player,dealer,player,player
dealer,player,player,dealer,dealer
dealer,player,dealer,dealer,dealer
player,player,player,dealer,dealer
player,push,dealer,push,dealer
push,dealer,player,dealer,push
player,dealer,dealer,dealer,dealer
player,player,dealer,player,player
player,player,dealer,player,dealer
player,player,dealer,dealer,dealer
dealer,dealer,dealer,dealer,dealer
player,dealer,dealer,player,player
dealer,player,dealer,dealer,dealer
push,player,player,player,player
player,dealer,dealer,dealer,push
dealer,player,player,dealer,dealer
push,player,push,dealer,dealer
dealer,player,player,player,dealer
push,dealer,player,dealer,dealer
dealer,dealer,dealer,dealer,player
dealer,dealer,push,dealer,player
player,dealer,player,player,dealer
player,dealer,player,dealer,dealer
